ID,STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
284,Gujarat,Anand,PARMAR AMARSINH DAHYABHAI,Independent,1265
285,Gujarat,Anand,HITENDRASINH MOHANSINH PARMAR,Bharatiya National Janta Dal,1260
286,Gujarat,Anand,PATEL NAINESHKUMAR UMEDBHAI,Independent,1063
287,Gujarat,Anand,PADHIYAR VIKRAMSINH (VAKIL),Rashtriya Samaj Paksha,876
288,Gujarat,Anand,None of the Above,None of the Above,16872
289,Gujarat,Kheda,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),Bharatiya Janata Party,568235
290,Gujarat,Kheda,DINSHA PATEL,Indian National Congress,335334
291,Gujarat,Kheda,ROSHAN PRIYAVADAN SHAH,Independent,7442
292,Gujarat,Kheda,PANDAV BHAILALBHAI KALUBHAI,Bahujan Samaj Party,5791
293,Gujarat,Kheda,BADHIWALA LABHUBHAI JIVRAJBHAI,Aam Aadmi Party,3742
294,Gujarat,Kheda,RATANSINH UDESINH CHAUHAN,Independent,3495
295,Gujarat,Kheda,MALEK SABIRHUSEN ISMAELBHAI,Independent,2720
296,Gujarat,Kheda,CHAUHAN DEVUSING MOTISHING,Independent,1860
297,Gujarat,Kheda,MALEK SADIK HUSHEN MAHAMMD HUSHEN,Independent,1444
298,Gujarat,Kheda,ABDUL RAZAKKHAN PATHAN,Apna Desh Party,1024
299,Gujarat,Kheda,MALEK YAKUBMIYA NABIMIYA,Independent,955
300,Gujarat,Kheda,RANVEER PRANAYRAJ GOVINDBHAI,Bahujan Mukti Party,944
301,Gujarat,Kheda,KHRISTI ADWARD KHUSHALBHAI,Independent,938
302,Gujarat,Kheda,PARIKH VIRAL HASMUKHBHAI,Independent,846
303,Gujarat,Kheda,PATHAN AMANULLAKHA SITABKHA,Independent,803
304,Gujarat,Kheda,None of the Above,None of the Above,20333
305,Gujarat,Panchmahal,CHAUHAN PRABHATSINH PRATAPSINH,Bharatiya Janata Party,508274
306,Gujarat,Panchmahal,RAMSINH PARMAR,Indian National Congress,337678
