134,GUJARAT,AHMEDABAD EAST,NONE OF THE ABOVE,NONE OF THE ABOVE,14358
135,GUJARAT,AHMEDABAD WEST,DR. KIRIT P SOLANKI,BHARATIYA JANATA PARTY,617104
136,GUJARAT,AHMEDABAD WEST,ISHWARBAHI DHANABHAI MAKWANA,INDIAN NATIONAL CONGRESS,296793
137,GUJARAT,AHMEDABAD WEST,J J MEVADA,AAM AADMI PARTY,17332
138,GUJARAT,AHMEDABAD WEST,CHAVDA MANSUKHBHAI NAGARBHAI,BAHUJAN SAMAJ PARTY,6205
139,GUJARAT,AHMEDABAD WEST,SOLANKI VITTHALBHAI MAGANBHAI,INDEPENDENT,2837
140,GUJARAT,AHMEDABAD WEST,DR J G PARMAR,BAHUJAN MUKTI PARTY,2564
141,GUJARAT,AHMEDABAD WEST,NARENDRA SANKHALIYA,LOKTANTRIK SAMAJWADI PARTY,1391
142,GUJARAT,AHMEDABAD WEST,SOLANKI RAMESHBHAI DANABHAI,INDEPENDENT,1256
143,GUJARAT,AHMEDABAD WEST,AMRUT SONARA,BAHUJAN SURAKSHA DAL,941
144,GUJARAT,AHMEDABAD WEST,AAYAR MULJIBHAI KHANABHAI,INDEPENDENT,808
145,GUJARAT,AHMEDABAD WEST,PARMAR HARJIVANBHAI KALABHAI,INDEPENDENT,807
146,GUJARAT,AHMEDABAD WEST,NONE OF THE ABOVE,NONE OF THE ABOVE,16571
147,GUJARAT,SURENDRANAGAR,FATEPARA DEVAJIBHAI GOVINDBHAI,BHARATIYA JANATA PARTY,529003
148,GUJARAT,SURENDRANAGAR,KOLI PATEL SOMABHAI GANDALAL,INDIAN NATIONAL CONGRESS,326096
149,GUJARAT,SURENDRANAGAR,SAPARA VIPULBHAI RAMESHBHAI,INDEPENDENT,14524
150,GUJARAT,SURENDRANAGAR,JETHABHAI MANJIBHAI PATEL,AAM AADMI PARTY,13375
151,GUJARAT,SURENDRANAGAR,SANKALIYA GANGARAMBHAI TAPUBHAI,INDEPENDENT,11208
152,GUJARAT,SURENDRANAGAR,PARMAR MINAXIBEN VIJAYBHAI,BAHUJAN SAMAJ PARTY,10753
153,GUJARAT,SURENDRANAGAR,VAGHELA PRAKASHBHAI BACHUBHAI,INDEPENDENT,6433
154,GUJARAT,SURENDRANAGAR,VORA BHAVANBHAI DEVAJIBHAI,INDEPENDENT,4821
155,GUJARAT,SURENDRANAGAR,VADALIYA KALUBHAI MALUBHAI,INDEPENDENT,3109
156,GUJARAT,SURENDRANAGAR,PARMAR PRABHUBHAI GOKALBHAI,INDEPENDENT,2968
157,GUJARAT,SURENDRANAGAR,BAR AJAMALBHAI KARMANBHAI,BAHUJAN MUKTI PARTY,2251
158,GUJARAT,SURENDRANAGAR,MANSINH SHIVUBHA ZALA,INDEPENDENT,2154
159,GUJARAT,SURENDRANAGAR,PARMAR VASHARAMBHAI BAVALBHAI,INDEPENDENT,1751
160,GUJARAT,SURENDRANAGAR,MAKWANA VASHARAMBHAI KARSHANBHAI,INDEPENDENT,1413
161,GUJARAT,SURENDRANAGAR,MAJETHIYA SAMARATBHAI JERAMBHAI,HINDUSTAN JANTA PARTY,1341
162,GUJARAT,SURENDRANAGAR,CHAVDA PALABHAI NANJIBHAI,INDEPENDENT,1227
163,GUJARAT,SURENDRANAGAR,MAKWANA UKABHAI AMRABHAI,INDEPENDENT,1226
164,GUJARAT,SURENDRANAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,11024
165,ANDHRA PRADESH,MAHBUBNAGAR,AP JITHENDER REDDY,TELANGANA RASHTRA SAMITHI,334228
166,ANDHRA PRADESH,MAHBUBNAGAR,JAIPAL REDDY SUDINI,INDIAN NATIONAL CONGRESS,331638
167,ANDHRA PRADESH,MAHBUBNAGAR,DR. JANARDHAN REDDY NAGAM,BHARATIYA JANATA PARTY,272791
168,ANDHRA PRADESH,MAHBUBNAGAR,S.R.PREMAIAH,PYRAMID PARTY OF INDIA,30388
169,ANDHRA PRADESH,MAHBUBNAGAR,KADIRE KRISHNA,BAHUJAN SAMAJ PARTY,15779
170,ANDHRA PRADESH,MAHBUBNAGAR,H.A. RAHMAN,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,9105
171,ANDHRA PRADESH,MAHBUBNAGAR,IBRAHIM SYED,INDEPENDENT,4549
172,ANDHRA PRADESH,MAHBUBNAGAR,DR. CHANDRA SEKHAR. A,INDEPENDENT,4033
173,ANDHRA PRADESH,MAHBUBNAGAR,S. SHIVA SHANKAR,INDEPENDENT,3252
174,ANDHRA PRADESH,MAHBUBNAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,9037
