CANDIDATE,PARTY,CONSTITUENCY,VOTES,TOTAL_VOTES,VOTE_SHARE
"ASHOK KUMAR RAWAT","BAHUJAN SAMAJ PARTY",MISRIKH,325212,998314,0.3258
"SUBHAS NASKAR","REVOLUTIONARY SOCIALIST PARTY",JOYNAGAR,386362,1186052,0.3258
"RAVI NAIK","INDIAN NATIONAL CONGRESS","NORTH GOA",132304,406631,0.3254
"(DR) HARAK SINGH RAWAT","INDIAN NATIONAL CONGRESS",GARHWAL,221164,682024,0.3243
"NIKHIL KUMAR CHOUDHARY","BHARATIYA JANATA PARTY",KATIHAR,316552,977830,0.3237
"SRI. O RAJAGOPAL","BHARATIYA JANATA PARTY",THIRUVANANTHAPURAM,282336,873439,0.3232
"VAGISH PATHAK","BHARATIYA JANATA PARTY",BADAUN,332031,1027594,0.3231
G.S.BASAVARAJ,"BHARATIYA JANATA PARTY",TUMKUR,355827,1101484,0.3230
"CH.MALLA REDDY","TELUGU DESAM",MALKAJGIRI,523336,1620397,0.3230
"DR DILIP KUMAR JAISWAL","BHARATIYA JANATA PARTY",KISHANGANJ,298849,928490,0.3219
"VINOD KUMAR ALIAS PANDIT SINGH","SAMAJWADI PARTY",KAISERGANJ,303282,943357,0.3215
"DR.BHAGAVANTH RAO","BHARATIYA JANATA PARTY",HYDERABAD,311414,971421,0.3206
"PREM CHAND JAYASI","INDIAN NATIONAL CONGRESS",JANJGIR-CHAMPA,343948,1073347,0.3204
"PREM SINGH CHANDUMAJRA","SHIROMANI AKALI DAL","ANANDPUR SAHIB",347394,1086563,0.3197
"K.C.SINGH BABA","INDIAN NATIONAL CONGRESS","NAINITAL-UDHAMSINGH NAGAR",352052,1101435,0.3196
"JAGDAMBIKA PAL","BHARATIYA JANATA PARTY",DOMARIYAGANJ,298845,935027,0.3196
"RAJMOHAN GANDHI","AAM AADMI PARTY","EAST DELHI",381739,1196336,0.3191
"DILIP KUMAR TIRKEY","BIJU JANATA DAL",SUNDARGARH,321679,1010711,0.3183
"MEGHE SAGAR DATTATRAYA","INDIAN NATIONAL CONGRESS",WARDHA,321735,1013445,0.3175
"SHAILENDRA KUMAR","SAMAJWADI PARTY",KAUSHAMBI,288746,910038,0.3173
"ABDUL MANNAN HOSSAIN","INDIAN NATIONAL CONGRESS",MURSHIDABAD,408494,1287763,0.3172
"JAI PRAKASH NARAYAN YADAV","RASHTRIYA JANATA DAL",BANKA,285150,899353,0.3171
"DEORA MILIND MURLI","INDIAN NATIONAL CONGRESS","MUMBAI SOUTH",246632,780715,0.3159
"EKNATH M. GAIKWAD","INDIAN NATIONAL CONGRESS","MUMBAI SOUTH CENTRAL",242933,769060,0.3159
"PRADIP SAHA","COMMUNIST PARTY OF INDIA (MARXIST)",HOOGHLY,425228,1348870,0.3152
"DEBESH DAS","COMMUNIST PARTY OF INDIA (MARXIST)",BANGAON,404612,1283688,0.3152
"KAMAT GURUDAS VASANT","INDIAN NATIONAL CONGRESS","MUMBAI NORTH WEST",281792,895517,0.3147
"PRABODH PANDA","COMMUNIST PARTY OF INDIA",MEDINIPUR,395194,1260032,0.3136
"CHRISTY FERNANDEZ",INDEPENDENT,ERNAKULAM,266794,850834,0.3136
"NIKAM DEVDATTA JAYWANT","NATIONALIST CONGRESS PARTY",SHIRUR,341601,1089506,0.3135
"SHARIEF UD-DIN SHARIQ","JAMMU & KASHMIR NATIONAL CONFERENCE",BARAMULLA,146058,465992,0.3134
"RAM CHANDRA PASWAN","LOK JAN SHAKTI PARTY","SAMASTIPUR (SC)",270401,863199,0.3133
"SELVAM G","DRAVIDA MUNNETRA KAZHAGAM",KANCHEEPURAM,352529,1128399,0.3124
"TAVIYAD DR. PRABHABEN KISHORSINH","INDIAN NATIONAL CONGRESS",DAHOD,280757,900381,0.3118
ANBHALAGAN.MU,"DRAVIDA MUNNETRA KAZHAGAM",TIRUCHIRAPPALLI,308002,988250,0.3117
"SABIR UDDIN MOLLA","COMMUNIST PARTY OF INDIA (MARXIST)",ULUBERIA,369563,1186027,0.3116
"PATEL HIMMATSINGH PRAHLADSINGH","INDIAN NATIONAL CONGRESS","AHMEDABAD EAST",306949,985525,0.3115
"ACHARIA BASUDEB","COMMUNIST PARTY OF INDIA (MARXIST)",BANKURA,384949,1236319,0.3114
"ANNADURAI C N","DRAVIDA MUNNETRA KAZHAGAM",TIRUVANNAMALAI,332145,1067447,0.3112
"MANOJ SINHA","BHARATIYA JANATA PARTY",GHAZIPUR,306929,986673,0.3111
"SANTOSH RANA","COMMUNIST PARTY OF INDIA",GHATAL,424805,1366709,0.3108
"BRIJ KISHOR SINGH ""DIMPAL""","SAMAJWADI PARTY",BASTI,324118,1048534,0.3091
"DR. ELAHI KAMRE MAHAMMAD","COMMUNIST PARTY OF INDIA (MARXIST)",BIRBHUM,393305,1275819,0.3083
"MOIRANGTHEM NARA","COMMUNIST PARTY OF INDIA","INNER MANIPUR",197428,640871,0.3081
"ISHWARBAHI DHANABHAI MAKWANA","INDIAN NATIONAL CONGRESS","AHMEDABAD WEST",296793,964609,0.3077
"PRENEET KAUR","INDIAN NATIONAL CONGRESS",PATIALA,344729,1120933,0.3075
"BIBHU PRASAD TARAI","INDIAN NATIONAL CONGRESS",JAGATSINGHPUR,348098,1131932,0.3075
ASHUTOSH,"AAM AADMI PARTY","CHANDNI CHOWK",301618,981863,0.3072
"DOLA SEN","ALL INDIA TRINAMOOL CONGRESS",ASANSOL,349503,1142395,0.3059
"OM PARKASH DHANKAR","BHARATIYA JANATA PARTY",ROHTAK,319436,1044331,0.3059
"PUTUL KUMARI","BHARATIYA JANATA PARTY",BANKA,275006,899353,0.3058
"HANUMANTH RAO MYNAMPALLY","TELANGANA RASHTRA SAMITHI",MALKAJGIRI,494965,1620397,0.3055
"ASHOK TANWAR","INDIAN NATIONAL CONGRESS",SIRSA,390634,1279105,0.3054
"PRAKASH JHA","JANATA DAL (UNITED)","PASCHIM CHAMPARAN",260978,854800,0.3053
"DR. ASHOK KUMAR","INDIAN NATIONAL CONGRESS","SAMASTIPUR (SC)",263529,863199,0.3053
"FURKAN ANSARI","INDIAN NATIONAL CONGRESS",GODDA,319818,1049442,0.3048
"DR. BHARATI PRAVIN PAWAR","NATIONALIST CONGRESS PARTY",DINDORI,295165,970182,0.3042
"P C SHARMA (PRAKASH MANGILAL SHARMA )","INDIAN NATIONAL CONGRESS",BHOPAL,343482,1130182,0.3039
"SADHU SINGH","INDIAN NATIONAL CONGRESS","FATEHGARH SAHIB",313149,1030954,0.3037
"KULWANT SINGH","SHIROMANI AKALI DAL","FATEHGARH SAHIB",312815,1030954,0.3034
"DEEPINDER SINGH DHILLON","SHIROMANI AKALI DAL",PATIALA,340109,1120933,0.3034
"RUDRA NARAYAN PANY","BHARATIYA JANATA PARTY",DHENKANAL,315937,1042101,0.3032
"DOME RAMCHANDRA","COMMUNIST PARTY OF INDIA (MARXIST)",BOLPUR,394581,1304756,0.3024
"SHARAD YADAV","JANATA DAL (UNITED)",MADHEPURA,312728,1034799,0.3022
"JAGTAP LAXMANBHAU PANDURANG","PEASANTS AND WORKERS PARTY OF INDIA",MAVAL,354829,1174335,0.3022
"SRIPRAKASH JAISWAL","INDIAN NATIONAL CONGRESS",KANPUR,251766,835079,0.3015
"K. V. PUSA","INDIAN NATIONAL CONGRESS",NAGALAND,313147,1038910,0.3014
"AJAY SHAH ""MAKRAI""","INDIAN NATIONAL CONGRESS",BETUL,315037,1047719,0.3007
"NURUL HUDA","COMMUNIST PARTY OF INDIA",BASIRHAT,382667,1273771,0.3004
"ASHISH KHETAN","AAM AADMI PARTY","NEW DELHI",290642,969812,0.2997
"MRINAL KUMAR SAIKIA","BHARATIYA JANATA PARTY",KALIABOR,349441,1166490,0.2996
"KUNWAR RATANJIT PRATAP NARAIN SINGH","INDIAN NATIONAL CONGRESS","KUSHI NAGAR",284511,950445,0.2993
"ALOK KUMAR MEHTA","RASHTRIYA JANATA DAL",UJIARPUR,256883,858920,0.2991
"CHANDRA SEKHAR SAHU","INDIAN NATIONAL CONGRESS",BERHAMPUR,270387,905362,0.2987
"SANGRAM KESHARI JENA","INDIAN NATIONAL CONGRESS",BHADRAK,322979,1081339,0.2987
"SANGEETA KUMARI SINGH DEO","BHARATIYA JANATA PARTY",BOLANGIR,349220,1170405,0.2984
"SANJEEV GANESH NAIK","NATIONALIST CONGRESS PARTY",THANE,314065,1054189,0.2979
"AMBIKA SONI","INDIAN NATIONAL CONGRESS","ANANDPUR SAHIB",323697,1086563,0.2979
"ER. SHANKAR PANNU","INDIAN NATIONAL CONGRESS",BIKANER,276853,929751,0.2978
"MANGANI LAL MANDAL","RASHTRIYA JANATA DAL",JHANJHARPUR,280073,941249,0.2976
"PAWAN KUMAR TINU","SHIROMANI AKALI DAL",JALANDHAR,309498,1040762,0.2974
"JADEJA KANDHALBHAI SARMANBHAI","NATIONALIST CONGRESS PARTY",PORBANDAR,240466,809433,0.2971
"MANASH BORAH","INDIAN NATIONAL CONGRESS",GAUHATI,449201,1511729,0.2971
"UDAY SINGH ALIAS PAPPU SINGH","BHARATIYA JANATA PARTY",PURNIA,302157,1017732,0.2969
"DASRATH TIRKEY","ALL INDIA TRINAMOOL CONGRESS",ALIPURDUARS,362453,1223566,0.2962
"DR. C.P. JOSHI","INDIAN NATIONAL CONGRESS","JAIPUR RURAL",300034,1013691,0.2960
"BALIRAM SUKUR JADHAV","BAHUJAN VIKAS AAGHADI",PALGHAR,293681,992618,0.2959
"KU. DEVENDRA SINGH YADAV","SAMAJWADI PARTY",ETAH,273977,926281,0.2958
"KANTI SINGH","RASHTRIYA JANATA DAL",KARAKAT,233651,789927,0.2958
"SAKTIMOHAN MALIK","COMMUNIST PARTY OF INDIA (MARXIST)",ARAMBAGH,401919,1361934,0.2951
"SATYANARAYAN PATEL","INDIAN NATIONAL CONGRESS",INDORE,388071,1316817,0.2947
"JHA SHANTANU","COMMUNIST PARTY OF INDIA (MARXIST)",KRISHNANAGAR,367534,1247914,0.2945
"CHANDRAKANT BHAURAO KHAIRE",SHIVSENA,AURANGABAD,520902,1769207,0.2944
"KRISHNA DAS","BHARATIYA JANATA PARTY",KARIMGANJ,260772,886920,0.2940
"NAHID HASAN","SAMAJWADI PARTY",KAIRANA,329081,1119324,0.2940
"RAJES NANDINI SINGH","INDIAN NATIONAL CONGRESS",SHAHDOL,284118,968518,0.2934
"HENA SHAHAB","RASHTRIYA JANATA DAL",SIWAN,258823,884021,0.2928
"SITARAM YADAV","RASHTRIYA JANATA DAL",SITAMARHI,263300,900588,0.2924
"SUKHDEV SINGH DHINDSA","SHIROMANI AKALI DAL",SANGRUR,321516,1099467,0.2924
"YASHVIR SINGH","SAMAJWADI PARTY",NAGINA,275435,942196,0.2923
"CHANDRA MOHAN PATOWARY","BHARATIYA JANATA PARTY",BARPETA,352361,1205863,0.2922
"DR. CHANDRAPAL SINGH YADAV","SAMAJWADI PARTY",JHANSI,385422,1320804,0.2918
"MASTER BHANWARLAL MEGHWAL","INDIAN NATIONAL CONGRESS",GANGANAGAR,366389,1256806,0.2915
"DR. NAMDEO DALLUJI USENDI","INDIAN NATIONAL CONGRESS",GADCHIROLI-CHIMUR,299112,1027129,0.2912
"BECHAI SAROJ","SAMAJWADI PARTY",LALGANJ,260930,898655,0.2904
"ASIM KUMAR DASGUPTA","COMMUNIST PARTY OF INDIA (MARXIST)","DUM DUM",328310,1132644,0.2899
"DR. KIRODI LAL","NATIONAL PEOPLES PARTY",DAUSA,269655,930492,0.2898
"MUNIRAJU GOWDA . P","BHARATIYA JANATA PARTY","BANGALORE RURAL",421243,1455244,0.2895
"MADAN LAL SHARMA","INDIAN NATIONAL CONGRESS",JAMMU,362715,1253593,0.2893
"RAMAKANT YADAV","BHARATIYA JANATA PARTY",AZAMGARH,277102,960218,0.2886
"RANEE NARAH","INDIAN NATIONAL CONGRESS",LAKHIMPUR,320405,1111975,0.2881
"ARCHANA BISWAS","COMMUNIST PARTY OF INDIA (MARXIST)",RANAGHAT,388684,1353196,0.2872
"SHIVE PRASAD VERMA","BAHUJAN SAMAJ PARTY",HARDOI,279158,972894,0.2869
"MD. SALIM","COMMUNIST PARTY OF INDIA (MARXIST)",RAIGANJ,317515,1108193,0.2865
"HARIHAR KARAN","INDIAN NATIONAL CONGRESS",KANDHAMAL,240441,839415,0.2864
"MOHAMED JALEEL .S","DRAVIDA MUNNETRA KAZHAGAM",RAMANATHAPURAM,286621,1001048,0.2863
"SRIBHAGWAN SINGH KUSHWAHA","RASHTRIYA JANATA DAL",ARRAH,255204,893213,0.2857
"MUNNI DEVI GODARA","INDIAN NATIONAL CONGRESS",PALI,312733,1095587,0.2854
"PROF. AZMEERA SEETARAM NAIK","TELANGANA RASHTRA SAMITHI",MAHABUBABAD,320569,1124370,0.2851
"SRI. DOCTOR BENNET ABRAHAM","COMMUNIST PARTY OF INDIA",THIRUVANANTHAPURAM,248941,873439,0.2850
"JONJONALI BARUAH","INDIAN NATIONAL CONGRESS",NOWGONG,350587,1230074,0.2850
"DEEPA DASMUNSI","INDIAN NATIONAL CONGRESS",RAIGANJ,315881,1108193,0.2850
"MANISHDADA JAIN","NATIONALIST CONGRESS PARTY",RAVER,287384,1009213,0.2848
P.K.SAINABA,"COMMUNIST PARTY OF INDIA (MARXIST)",MALAPPURAM,242984,853467,0.2847
"BIMALENDU SARKAR (BIMAL)","REVOLUTIONARY SOCIALIST PARTY",BALURGHAT,302677,1063053,0.2847
"USHA VERMA","SAMAJWADI PARTY",HARDOI,276543,972894,0.2842
"JARNAIL SINGH","AAM AADMI PARTY","WEST DELHI",382809,1347971,0.2840
"BRINDAWAN SINGH SIKARWAR","BAHUJAN SAMAJ PARTY",MORENA,242586,854279,0.2840
"PREMDAS KATERIYA","SAMAJWADI PARTY",ETAWAH,266700,939604,0.2838
"LAKSHMAN SINGH","INDIAN NATIONAL CONGRESS",VIDISHA,303650,1073473,0.2829
"RAKESH PANDEY","BAHUJAN SAMAJ PARTY","AMBEDKAR NAGAR",292675,1034404,0.2829
"AFZAL SIDDIQUI","BAHUJAN SAMAJ PARTY",FATEHPUR,298788,1056688,0.2828
"RAJ BALLABH PRASAD","RASHTRIYA JANATA DAL",NAWADA,250091,884441,0.2828
NANDAGOPALAKRISHNAN.K.,"DRAVIDA MUNNETRA KAZHAGAM",CUDDALORE,278304,984538,0.2827
"DEVADASA SUNDARAM","DRAVIDA MUNNETRA KAZHAGAM",TIRUNELVELI,272040,962330,0.2827
"KUNWAR REWATI RAMAN SINGH ALIAS MANI","SAMAJWADI PARTY",ALLAHABAD,251763,891582,0.2824
"DILESHWAR KAMAIT","JANATA DAL (UNITED)",SUPAUL,273255,970528,0.2816
"HIMMAT SINGH SHERGILL","AAM AADMI PARTY","ANANDPUR SAHIB",306008,1086563,0.2816
"CHANDRESH KUMARI","INDIAN NATIONAL CONGRESS",JODHPUR,303464,1078598,0.2814
"PRADIPTA KUMAR NAIK","BHARATIYA JANATA PARTY",KALAHANDI,314524,1117536,0.2814
"TIRTHANKAR RAY","COMMUNIST PARTY OF INDIA (MARXIST)",SRERAMPUR,362407,1290433,0.2808
"MD ANWARUL HAQUE","RASHTRIYA JANATA DAL",SHEOHAR,236267,842894,0.2803
"ZAKIR HUSSAIN","INDIAN NATIONAL LOK DAL",GURGAON,370058,1320619,0.2802
"PRITHIVIRAJ HARICHANDAN","BHARATIYA JANATA PARTY",BHUBANESWAR,249775,891822,0.2801
"MANIMARAN. R","DRAVIDA MUNNETRA KAZHAGAM",KALLAKURICHI,309876,1107241,0.2799
"AHIRWAR DR. KAMLESH VERMA","INDIAN NATIONAL CONGRESS",TIKAMGARH,214248,766321,0.2796
"VILAS MUTTEMWAR","INDIAN NATIONAL CONGRESS",NAGPUR,302939,1085058,0.2792
T.K.S.ELANGOVAN,"DRAVIDA MUNNETRA KAZHAGAM","CHENNAI SOUTH",301779,1081163,0.2791
"PROF. RITA BAHUGUNA JOSHI","INDIAN NATIONAL CONGRESS",LUCKNOW,288357,1033783,0.2789
"MANOHAR TIRKEY","REVOLUTIONARY SOCIALIST PARTY",ALIPURDUARS,341056,1223566,0.2787
"SMT SHIVKANYA KUSHWAHA","SAMAJWADI PARTY",GHAZIPUR,274477,986673,0.2782
"PRATAP CHANDRA SARANGI","BHARATIYA JANATA PARTY",BALASORE,291943,1049450,0.2782
"KHAGEN MURMU","COMMUNIST PARTY OF INDIA (MARXIST)","MALDAHA UTTAR",322904,1162985,0.2777
"SHAH ALAM ALIAS GUDDU JAMALI","BAHUJAN SAMAJ PARTY",AZAMGARH,266528,960218,0.2776
"R.K CHAUDHARY","BAHUJAN SAMAJ PARTY",MOHANLALGANJ,309858,1116588,0.2775
"DR. MORTOZA HOSSAIN","ALL INDIA FORWARD BLOC",BARASAT,352246,1269331,0.2775
"RATHOD PRAVINBHAI JINABHAI","INDIAN NATIONAL CONGRESS",BHAVNAGAR,254041,917402,0.2769
"THIRUMAAVALAVAN THOL","VIDUTHALAI CHIRUTHAIGAL KATCHI",CHIDAMBARAM,301041,1088423,0.2766
"BHAKTA CHARAN DAS","INDIAN NATIONAL CONGRESS",KALAHANDI,307967,1117536,0.2756
"PATLOLLA KARTIK REDDY","INDIAN NATIONAL CONGRESS",CHELVELLA,362054,1315862,0.2751
"BIRENDRA BARA (ORAON)","BHARATIYA JANATA PARTY",ALIPURDUARS,335857,1223566,0.2745
"H D KUMARA SWAMY","JANATA DAL (SECULAR)",CHIKKBALLAPUR,346339,1263274,0.2742
"JAGBIR SINGH MALIK","INDIAN NATIONAL CONGRESS",SONIPAT,269789,985637,0.2737
"PURNMASI RAM","INDIAN NATIONAL CONGRESS","VALMIKI NAGAR",246218,900114,0.2735
"RAVNEET SINGH BITTU","INDIAN NATIONAL CONGRESS",LUDHIANA,300459,1100457,0.2730
"KUNWAR SARVRAJ SINGH","SAMAJWADI PARTY",AONLA,271478,995641,0.2727
"AYESHA ISLAM","SAMAJWADI PARTY",BAREILLY,277573,1017891,0.2727
ESWARAN.E.R.,"BHARATIYA JANATA PARTY",POLLACHI,276118,1012667,0.2727
"PRECHARD B. M. BASAIAWMOIT",INDEPENDENT,SHILLONG,168961,619987,0.2725
"GEETA KORA","JAI BHARAT SAMANTA PARTY",SINGHBHUM,215607,795286,0.2711
"MUTHAIYAN K DR","DRAVIDA MUNNETRA KAZHAGAM",VILUPPURAM,289337,1067641,0.2710
"DEVENDRA PATEL ""GUDDU BHAIYA""","INDIAN NATIONAL CONGRESS",HOSHANGABAD,279168,1031175,0.2707
"RAM PRASAD CHAUDHARY","BAHUJAN SAMAJ PARTY",BASTI,283747,1048534,0.2706
"MOHD.SHAHID AKHLAK","BAHUJAN SAMAJ PARTY",MEERUT,300655,1113384,0.2700
"PARAMJIT KAUR GULSHAN","SHIROMANI AKALI DAL",FARIDKOT,278235,1032107,0.2696
"DR. JANARDHAN REDDY NAGAM","BHARATIYA JANATA PARTY",MAHBUBNAGAR,272791,1014800,0.2688
"PAWAN KUMAR BANSAL","INDIAN NATIONAL CONGRESS",CHANDIGARH,121720,453455,0.2684
"G. VIVEKANAND","INDIAN NATIONAL CONGRESS",PEDDAPALLE,274338,1022184,0.2684
"TULLA VEERENDER","TELUGU DESAM",CHELVELLA,353203,1315862,0.2684
"PADAM SINGH","INDIAN NATIONAL LOK DAL",SONIPAT,264404,985637,0.2683
"PRADEEP KUMAR SINGH","BHARATIYA JANATA PARTY",ARARIA,261474,975811,0.2680
"ARVIND GIRI","BAHUJAN SAMAJ PARTY",KHERI,288304,1077868,0.2675
"PONNAM PRABHAKAR","INDIAN NATIONAL CONGRESS",KARIMNAGAR,300706,1125691,0.2671
"BAHADUR SINGH","INDIAN NATIONAL LOK DAL",BHIWANI-MAHENDRAGARH,275148,1030431,0.2670
"ANNASAHEB DR.SATISH BHASKARRAO PATIL","NATIONALIST CONGRESS PARTY",JALGAON,264248,990332,0.2668
"RAJIV RANJAN SINGH ALIAS LALAN SINGH","JANATA DAL (UNITED)",MUNGER,243827,914350,0.2667
"BHOLANATH ALIAS B.P. SAROJ","BAHUJAN SAMAJ PARTY",MACHHLISHAHR,266055,997902,0.2666
"HEMANAND BISWAL","INDIAN NATIONAL CONGRESS",SUNDARGARH,269335,1010711,0.2665
"NARENDRA BHATI","SAMAJWADI PARTY","GAUTAM BUDDHA NAGAR",319490,1199238,0.2664
"ABHINESH MAHARSHI","BAHUJAN SAMAJ PARTY",CHURU,301017,1131104,0.2661
"ATIQ AHMAD","SAMAJWADI PARTY",SHRAWASTI,260051,979638,0.2655
"KRISHNA KUMARI YADAV","RASHTRIYA JANATA DAL",KHAGARIA,237803,896231,0.2653
"SHAHNAWAZ RANA","SAMAJWADI PARTY",BIJNOR,281139,1060346,0.2651
"WAZED ALI CHOUDHURY","INDIAN NATIONAL CONGRESS",DHUBRI,362839,1369624,0.2649
"NARAYAN SINGH SUMAN","BAHUJAN SAMAJ PARTY",AGRA,283453,1070400,0.2648
"SHRIKANTA KUMAR JENA","INDIAN NATIONAL CONGRESS",BALASORE,277517,1049450,0.2644
"SATYA BRATA MOOKHERJEE","BHARATIYA JANATA PARTY",KRISHNANAGAR,329387,1247914,0.2640
"JEGAN. P","DRAVIDA MUNNETRA KAZHAGAM",THOOTHUKKUDI,242050,916778,0.2640
"THUPSTAN CHHEWANG","BHARATIYA JANATA PARTY",LADAKH,31111,118029,0.2636
"R. K. SINGH PATEL","BAHUJAN SAMAJ PARTY",BANDA,226278,858326,0.2636
"V. NARAYANASAMY","INDIAN NATIONAL CONGRESS",PUDUCHERRY,194972,740017,0.2635
"RAMESHWAR SINGH YADAV","SAMAJWADI PARTY",FARRUKHABAD,255693,970677,0.2634
"GHULAM RAZA",INDEPENDENT,LADAKH,31075,118029,0.2633
"MADHU YASKHI GOUD","INDIAN NATIONAL CONGRESS",NIZAMABAD,272123,1033924,0.2632
"ANIL KUMAR MAURYA","BAHUJAN SAMAJ PARTY",CHANDAULI,257379,980572,0.2625
"V VELUSAMY","DRAVIDA MUNNETRA KAZHAGAM",MADURAI,256731,978346,0.2624
"SEEMA UPADHYAY","BAHUJAN SAMAJ PARTY","FATEHPUR SIKRI",253483,967968,0.2619
"NARAHARI MAHATO","ALL INDIA FORWARD BLOC",PURULIA,314400,1204675,0.2610
"GIRISH CHANDRA","BAHUJAN SAMAJ PARTY",NAGINA,245685,942196,0.2608
"RAMJI MANJHI","RASHTRIYA JANATA DAL","GAYA (SC)",210726,809378,0.2604
"DR. BALIRAM","BAHUJAN SAMAJ PARTY",LALGANJ,233971,898655,0.2604
"RAJKUMAR YADAV","COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)",KODARMA,266756,1024906,0.2603
"SADAL PRASAD","BAHUJAN SAMAJ PARTY",BANSGAON,228443,877877,0.2602
"AKHILESH PD SINGH","INDIAN NATIONAL CONGRESS",MUZAFFARPUR,246873,948887,0.2602
"SHRUTI CHOUDHRY","INDIAN NATIONAL CONGRESS",BHIWANI-MAHENDRAGARH,268115,1030431,0.2602
"RAJA PATERIA","INDIAN NATIONAL CONGRESS",KHAJURAHO,227476,874477,0.2601
"DR. PULIN BIHARI BASKE","COMMUNIST PARTY OF INDIA (MARXIST)",JHARGRAM,326621,1257613,0.2597
"SUBHASHINI ALI","COMMUNIST PARTY OF INDIA (MARXIST)",BARRACKPORE,272433,1051130,0.2592
"SRIDIP BHATTACHARYA","COMMUNIST PARTY OF INDIA (MARXIST)",HOWRAH,291505,1125399,0.2590
"PATEL HIDAYAT ULLA BARKAT ULLA","INDIAN NATIONAL CONGRESS",AKOLA,253356,978491,0.2589
"RAHUL (BISWAJIT) SINHA","BHARATIYA JANATA PARTY","KOLKATA UTTAR",247461,955778,0.2589
"SUNDERLAL TIWARI","INDIAN NATIONAL CONGRESS",REWA,214594,830002,0.2585
VAIKO,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",VIRUDHUNAGAR,261143,1010930,0.2583
DR.KRISHNASAMY.K.,"PUTHIYA TAMILAGAM",TENKASI,262812,1017938,0.2582
"KAMESHWAR CHAUPAL","BHARATIYA JANATA PARTY",SUPAUL,249693,970528,0.2573
"NEPOLE RAGHU MURMU","BHARATIYA JANATA PARTY",MAYURBHANJ,270913,1053399,0.2572
"SUDHANSU SHEKHAR BHASKAR","RASHTRIYA JANATA DAL","JAMUI (SC)",199407,775639,0.2571
"CHINNA PILLAPPA.P","DRAVIDA MUNNETRA KAZHAGAM",KRISHNAGIRI,273900,1068391,0.2564
"UMED SINGH KASHYAP","BAHUJAN SAMAJ PARTY",SHAHJAHANPUR,289603,1129841,0.2563
