PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"BHARTIYA SHRAMIK DAL SOCIALIST",7000000,924,7575.7576
"REPUBLICAN PARTY OF INDIA EKTAVADI",7000000,910,7692.3077
"HINDUSTAN SWARAJ CONGRESS PARTY",7000000,888,7882.8829
"BHARATIYA MOOL NIWASI SAMAJ PARTY",7000000,877,7981.7560
"BAHUJAN SURAKSHA DAL",14000000,1723,8125.3627
"BHARTIYA PRAGATISHEEL CONGRESS",21000000,2571,8168.0280
"DEMOCRATIC CONGRESS PARTY",7000000,833,8403.3613
"BHARTIYA CHAITANYA PARTY",7000000,802,8728.1796
"NATIONAL PARTY",7000000,791,8849.5575
"GOA SU-RAJ PARTY",7000000,783,8939.9745
"SAMTA VIKAS PARTY",7000000,763,9174.3119
"LOKTANTRIK RASHRTAVADI PARTY",14000000,1491,9389.6714
"AKHIL BHARATIYA CONGRESS DAL (AMBEDKAR)",14000000,1461,9582.4778
"KANNADA CHALAVALI VATAL PAKSHA",7000000,707,9900.9901
"PRAJATANTRA AADHAR PARTY",7000000,698,10028.6533
"AKHIL BHARATIYA HIND KRANTI PARTY",7000000,685,10218.9781
"AKHIL BHARATIYA RAJARYA SABHA",7000000,683,10248.9019
"SOCIAL ACTION PARTY",7000000,682,10263.9296
"RASHTRIYA SAWARN DAL",7000000,665,10526.3158
"AKHAND BHARAT SAMAJ PARTY",7000000,651,10752.6882
"INDIAN OCEANIC PARTY",7000000,649,10785.8243
"RASHTRIYA BAHUJAN HITAY PARTY",21000000,1842,11400.6515
"RASHTRIYA EKTA PARTY",7000000,601,11647.2546
"NATIONAL ORGANISATION CONGRESS",14000000,1202,11647.2546
"B.C.BHARATA DESAM PARTY",7000000,597,11725.2931
"NATIONAL YOUTH PARTY",14000000,1176,11904.7619
"RASHTRIYA JANMORCHA",14000000,1145,12227.0742
"HINDUSTAN EKTA PARTY",7000000,566,12367.4912
"ADARSH SAMAJ PARTY",7000000,557,12567.3250
"INDIAN GANDHIYAN PARTY",7000000,546,12820.5128
"ALL INDIA RAVIDAS SAMATA PARTY",7000000,543,12891.3444
"UTTAR PRADESH REPUBLICAN PARTY",7000000,542,12915.1292
"GOEMCARANCHO OTREC ASTRO",7000000,530,13207.5472
"BHARATIYA NAV KRANTI PARTY",7000000,502,13944.2231
"NAVA BHARAT NATIONAL PARTY",7000000,485,14432.9897
"THRINAMOOL TAMIL NADU CONGRESS",7000000,474,14767.9325
"NAVBHARAT NIRMAN PARTY",7000000,441,15873.0159
"PARIVARTAN SAMAJ PARTY",7000000,433,16166.2818
"RASHTRIYA JANADHIKAR PARTY",7000000,415,16867.4699
"INDIANS VICTORY PARTY",7000000,398,17587.9397
"SARDAR VALLABHBHAI PATEL PARTY",7000000,394,17766.4975
"AMBEDKAR PEOPLE'S MOVEMENT",7000000,374,18716.5775
"BHARTIYA JANTA DAL (INTEGRATED)",21000000,1118,18783.5420
"MAJDOOR KISAN UNION PARTY",7000000,362,19337.0166
"JAN SAMANTA PARTY",7000000,357,19607.8431
"VANCHIT JAMAT PARTY",7000000,350,20000.0000
"PEOPLE'S PARTY OF INDIA(SECULAR)",7000000,331,21148.0363
"BHARTIYA JAN MANCH",7000000,325,21538.4615
"AKHIL BHARATIYA ASHOK SENA",7000000,296,23648.6486
"VISHVA SHAKTI PARTY",7000000,263,26615.9696
"RASHTRIYA JATIGAT AARAKSHAN VIRODHI PARTY",7000000,259,27027.0270
"RASHTRIYA JANKRANTI PARTY",7000000,217,32258.0645
"BHARAT VISHAL PARTY",7000000,161,43478.2609
