CANDIDATE,PARTY,CONSTITUENCY,VOTES
"MADHU YASKHI GOUD","INDIAN NATIONAL CONGRESS",NIZAMABAD,272123
"RAJ KUMAR BALMIKI","INDIAN NATIONAL CONGRESS",AMBALA,272047
"DEVADASA SUNDARAM","DRAVIDA MUNNETRA KAZHAGAM",TIRUNELVELI,272040
"DEOTALE SANJAY WAMANRAO","INDIAN NATIONAL CONGRESS",CHANDRAPUR,271780
"KUNWAR SARVRAJ SINGH","SAMAJWADI PARTY",AONLA,271478
"NEPOLE RAGHU MURMU","BHARATIYA JANATA PARTY",MAYURBHANJ,270913
"RAM CHANDRA PASWAN","LOK JAN SHAKTI PARTY","SAMASTIPUR (SC)",270401
"CHANDRA SEKHAR SAHU","INDIAN NATIONAL CONGRESS",BERHAMPUR,270387
"JAGBIR SINGH MALIK","INDIAN NATIONAL CONGRESS",SONIPAT,269789
"DR. KIRODI LAL","NATIONAL PEOPLES PARTY",DAUSA,269655
"HEMANAND BISWAL","INDIAN NATIONAL CONGRESS",SUNDARGARH,269335
"KARIA MUNDA","BHARATIYA JANATA PARTY",KHUNTI,269185
"RAJAIAH SIRICILLA","INDIAN NATIONAL CONGRESS",WARANGAL,269065
GANDHISELVAN.S,"DRAVIDA MUNNETRA KAZHAGAM",NAMAKKAL,268898
"SHRUTI CHOUDHRY","INDIAN NATIONAL CONGRESS",BHIWANI-MAHENDRAGARH,268115
EM.NARAYANASWAMY,"BHARATIYA JANATA PARTY",KOLAR,267322
"CHRISTY FERNANDEZ",INDEPENDENT,ERNAKULAM,266794
"RAJKUMAR YADAV","COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)",KODARMA,266756
"PREMDAS KATERIYA","SAMAJWADI PARTY",ETAWAH,266700
"SHAH ALAM ALIAS GUDDU JAMALI","BAHUJAN SAMAJ PARTY",AZAMGARH,266528
"BHOLANATH ALIAS B.P. SAROJ","BAHUJAN SAMAJ PARTY",MACHHLISHAHR,266055
"PADAM SINGH","INDIAN NATIONAL LOK DAL",SONIPAT,264404
"ANNASAHEB DR.SATISH BHASKARRAO PATIL","NATIONALIST CONGRESS PARTY",JALGAON,264248
"DR. ASHOK KUMAR","INDIAN NATIONAL CONGRESS","SAMASTIPUR (SC)",263529
N.DINESHKUMAR,"DESIYA MURPOKKU DRAVIDA KAZHAGAM",TIRUPPUR,263463
"SITARAM YADAV","RASHTRIYA JANATA DAL",SITAMARHI,263300
DR.KRISHNASAMY.K.,"PUTHIYA TAMILAGAM",TENKASI,262812
"MAKSUD MIRZA","INDIAN NATIONAL CONGRESS",NAVSARI,262715
"PRADEEP KUMAR SINGH","BHARATIYA JANATA PARTY",ARARIA,261474
"DEEPAK KARMA (BUNTY)","INDIAN NATIONAL CONGRESS",BASTAR,261470
"BRIJLAL KHABRI","BAHUJAN SAMAJ PARTY",JALAUN,261429
VAIKO,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",VIRUDHUNAGAR,261143
"PRAKASH JHA","JANATA DAL (UNITED)","PASCHIM CHAMPARAN",260978
"BECHAI SAROJ","SAMAJWADI PARTY",LALGANJ,260930
"KRISHNA DAS","BHARATIYA JANATA PARTY",KARIMGANJ,260772
"DR. PALLA RAJESHWAR REDDY","TELANGANA RASHTRA SAMITHI",NALGONDA,260677
"DR.P. SHRAVAN KUMAR REDDY","INDIAN NATIONAL CONGRESS",MEDAK,260463
"PRATAP SINGH JAT","INDIAN NATIONAL CONGRESS",SIKAR,260232
"ATIQ AHMAD","SAMAJWADI PARTY",SHRAWASTI,260051
"SUCHARITA MOHANTY","INDIAN NATIONAL CONGRESS",PURI,259800
NARESH,"INDIAN NATIONAL CONGRESS",ADILABAD,259557
R.SIVANANDAM,"DRAVIDA MUNNETRA KAZHAGAM",ARANI,258877
"HENA SHAHAB","RASHTRIYA JANATA DAL",SIWAN,258823
A.KRISHNAPPA,"JANATA DAL (SECULAR)",TUMKUR,258683
"NEPAL MAHATA","INDIAN NATIONAL CONGRESS",PURULIA,257923
"ANIL KUMAR MAURYA","BAHUJAN SAMAJ PARTY",CHANDAULI,257379
"ALOK KUMAR MEHTA","RASHTRIYA JANATA DAL",UJIARPUR,256883
LA.GANESAN,"BHARATIYA JANATA PARTY","CHENNAI SOUTH",256786
"V VELUSAMY","DRAVIDA MUNNETRA KAZHAGAM",MADURAI,256731
"PON. MUTHURAMALINGAM","DRAVIDA MUNNETRA KAZHAGAM",THENI,256722
"MANPREET SINGH AYALI","SHIROMANI AKALI DAL",LUDHIANA,256590
"BANSA GOPAL CHOUDHURY","COMMUNIST PARTY OF INDIA (MARXIST)",ASANSOL,255829
"R. RADHAKRISHNAN","ALL INDIA N.R. CONGRESS",PUDUCHERRY,255826
"RAMESHWAR SINGH YADAV","SAMAJWADI PARTY",FARRUKHABAD,255693
GANESHAMURTHI.A,"MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM",ERODE,255432
"SRIBHAGWAN SINGH KUSHWAHA","RASHTRIYA JANATA DAL",ARRAH,255204
"TAPAN SIKDAR","BHARATIYA JANATA PARTY","DUM DUM",254819
"RAJ BALA OLA","INDIAN NATIONAL CONGRESS",JHUNJHUNU,254347
"SAKET BAHUGUNA","INDIAN NATIONAL CONGRESS","TEHRI GARHWAL",254230
"JYOTI MANN","AAM AADMI PARTY",JALANDHAR,254121
"DR.VISHWAJEET PATANGRAO KADAM","INDIAN NATIONAL CONGRESS",PUNE,254056
"RATHOD PRAVINBHAI JINABHAI","INDIAN NATIONAL CONGRESS",BHAVNAGAR,254041
"SEEMA UPADHYAY","BAHUJAN SAMAJ PARTY","FATEHPUR SIKRI",253483
"PATEL HIDAYAT ULLA BARKAT ULLA","INDIAN NATIONAL CONGRESS",AKOLA,253356
A.K.MOORTHY,"PATTALI MAKKAL KATCHI",ARANI,253332
"ELANGO N.R","DRAVIDA MUNNETRA KAZHAGAM",ARAKKONAM,252768
"AQEEL-UR -REHMAN KHAN","BAHUJAN SAMAJ PARTY",SAMBHAL,252640
"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY",MADHEPURA,252534
"PRADEEP TAMTA","INDIAN NATIONAL CONGRESS",ALMORA,252496
"KADIR RANA","BAHUJAN SAMAJ PARTY",MUZAFFARNAGAR,252241
"PONGALUR PALANISAMY.N","DRAVIDA MUNNETRA KAZHAGAM",POLLACHI,251829
"SRIPRAKASH JAISWAL","INDIAN NATIONAL CONGRESS",KANPUR,251766
"KUNWAR REWATI RAMAN SINGH ALIAS MANI","SAMAJWADI PARTY",ALLAHABAD,251763
"JOGINDER SINGH","INDIAN NATIONAL CONGRESS",FARIDKOT,251222
"SUBHAS KUMAR SARKAR","BHARATIYA JANATA PARTY",BANKURA,251183
"BHISM SHANKAR ALIAS KUSHAL TIWARI","BAHUJAN SAMAJ PARTY","SANT KABIR NAGAR",250914
"AJAY KUMAR DUBEY","INDIAN NATIONAL CONGRESS",DHANBAD,250537
"RAJ BALLABH PRASAD","RASHTRIYA JANATA DAL",NAWADA,250091
"PRITHIVIRAJ HARICHANDAN","BHARATIYA JANATA PARTY",BHUBANESWAR,249775
