CANDIDATE,PARTY,CONSTITUENCY,VOTES
ADITYANATH,"BHARATIYA JANATA PARTY",GORAKHPUR,539127
"RAMDAS CHANDRABHANJI TADAS","BHARATIYA JANATA PARTY",WARDHA,537518
"ASHOK GAJAPATHI RAJU PUSAPATI","TELUGU DESAM",VIZIANAGARAM,536549
"ASHOK MAHADEORAO NETE","BHARATIYA JANATA PARTY",GADCHIROLI-CHIMUR,535982
"AKSHAY YADAV","SAMAJWADI PARTY",FIROZABAD,534583
"B. SREERAMULU","BHARATIYA JANATA PARTY",BELLARY,534406
"KAMARAJ. K","ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",KALLAKURICHI,533383
"BHAGWANT MANN","AAM AADMI PARTY",SANGRUR,533237
"ADV. CHINTAMAN NAVASHA WANGA","BHARATIYA JANATA PARTY",PALGHAR,533201
"RAJENDRA AGARWAL","BHARATIYA JANATA PARTY",MEERUT,532981
"LOKHANDE SADASHIV KISAN",SHIVSENA,SHIRDI,532936
"DR. BHAMRE SUBHASH RAMRAO","BHARATIYA JANATA PARTY",DHULE,529450
"FATEPARA DEVAJIBHAI GOVINDBHAI","BHARATIYA JANATA PARTY",SURENDRANAGAR,529003
"KANWAR SINGH TANWAR","BHARATIYA JANATA PARTY",AMROHA,528880
"RENUKA SINHA","ALL INDIA TRINAMOOL CONGRESS","COOCH BEHAR",526499
"SONIA GANDHI","INDIAN NATIONAL CONGRESS","RAE BARELI",526434
"BHARTRUHARI MAHATAB","BIJU JANATA DAL",CUTTACK,526085
"DALPAT SINGH PARASTE","BHARATIYA JANATA PARTY",SHAHDOL,525419
"DR. KAKALI GHOSHDOSTIDAR","ALL INDIA TRINAMOOL CONGRESS",BARASAT,525387
"KIRIT SOMAIYA","BHARATIYA JANATA PARTY","MUMBAI NORTH EAST",525285
"KRISHNA RAJ","BHARATIYA JANATA PARTY",SHAHJAHANPUR,525132
C.S.PUTTARAJU,"JANATA DAL (SECULAR)",MANDYA,524370
"CH.MALLA REDDY","TELUGU DESAM",MALKAJGIRI,523336
"PINAKI MISRA","BIJU JANATA DAL",PURI,523161
"RAKHI BIRLA","AAM AADMI PARTY","NORTH WEST DELHI",523058
"SHRIMANT CHH. UDAYANRAJE PRATAPSINHA BHONSALE","NATIONALIST CONGRESS PARTY",SATARA,522531
"SUPRIYA SULE","NATIONALIST CONGRESS PARTY",BARAMATI,521562
"THOTA CHANDRA SEKHAR","YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",ELURU,521545
"CHANDRAKANT BHAURAO KHAIRE",SHIVSENA,AURANGABAD,520902
